PC,LOI,CD,BD,Dc,De,Elev_m,CostalBlue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2,NDVI,NDWI,dis_inlet,MSAVI,VARI,BNDVI,CIG,CVI,GARI,GBNDVI,MCARI1,tidal_heigh,tidal_range,MHW_old,NDWI15m,NDVI15m,NDWI30m,NDVI30m,Location
18.6623736,0.3813918,0.03657,0.19594,1.562019364,195.4214063,0.297,337,297,324,310,274,301,383,254,0.165905632,-0.083451202,2692,0.784329652,0.166112957,0.126470588,0.182098765,0.999676116,2.277777778,-0.237051793,234.96,2.19,1.0546,0.68,0.054722135,0.227329084,0.049870579,0.222900952,Westport
19.8107832,0.4034766,0.04734,0.23895,3.376648937,195.4214063,0.367,338,303,339,309,291,324,452,301,0.216689098,-0.142857143,2692,0.855941098,0.146788991,0.197350993,0.333333333,1.144542773,1.237623762,-0.173674589,306.72,2.19,1.0546,0.68,0.046913894,0.230941857,0.041750788,0.228854948,Westport
26.0685464,0.5238182,0.03675,0.14098,6.424232761,195.4214063,0.396,335,296,326,311,279,322,457,314,0.241847826,-0.167305236,2692,0.889236618,0.15210356,0.213811421,0.401840491,1.199734653,1.298245614,-0.15291937,329.64,2.19,1.0546,0.68,0.03449954,0.237429517,0.031733526,0.234773874,Westport
18.0291488,0.3692144,0.02757,0.15293,8.066235092,142.4214063,0.316,338,304,339,324,295,338,472,317,0.230769231,-0.163995068,2692,0.874751787,0.133333333,0.216494845,0.392330383,1.211614935,1.14516129,-0.153363229,323.52,2.19,1.0546,0.68,0.026349348,0.225313852,0.004120781,0.231109497,Westport
25.7167404,0.5170527,0.03318,0.12903,9.720665558,121.7348828,0.387,338,300,337,327,305,363,517,360,0.257907543,-0.210772834,2692,0.909824112,0.093567251,0.265605875,0.534124629,1.388451074,0.945945946,-0.103986135,355.2,2.19,1.0546,0.68,-0.002163739,0.235363526,0.001831751,0.228072227,Westport
25.714312,0.517006,0.03748,0.14576,10.78004465,94.39162109,0.389,344,314,354,346,332,364,536,384,0.235023041,-0.204494382,2692,0.880377155,0.059139785,0.261176471,0.514124294,1.420026174,0.82,-0.109634551,328.08,2.19,1.0546,0.68,-0.023750222,0.2297616,-0.008721727,0.229161992,Westport
26.9278464,0.5403432,0.05598,0.20789,5.015022098,78.07814453,0.44,339,301,341,330,307,365,532,365,0.2681764,-0.218785796,2692,0.922702984,0.097982709,0.277310924,0.560117302,1.404563084,0.939086294,-0.093696763,377.04,2.19,1.0546,0.68,0.005583209,0.219069828,0.033174241,0.216935486,Westport
10.3094264,0.2207582,0.03276,0.3178,11.91550103,0,0.315,337,295,322,310,277,309,429,288,0.21529745,-0.142476698,2692,0.854045807,0.148026316,0.185082873,0.332298137,1.146107403,1.404494382,-0.179732314,289.08,2.19,1.0546,0.68,0.136013897,0.167926508,0.203265219,0.106777922,Westport
13.26026,0.277505,0.03897,0.29391,11.06392303,0,0.345,356,335,403,416,392,458,638,443,0.238834951,-0.225744476,2692,0.885394306,0.023913043,0.311408016,0.583126551,1.53991466,0.609589041,-0.072674419,371.4,2.19,1.0546,0.68,0.231051098,0.100862823,0.260520242,0.066793617,Westport
24.0951984,0.4858692,0.03455,0.14337,49.98842591,301.3320508,0.4,333,296,318,308,285,314,447,311,0.221311475,-0.168627451,2692,0.862157719,0.107491857,0.203230148,0.405660377,1.259789961,1.186440678,-0.15739868,284.76,2.19,1.0546,0.68,-0.036166429,0.247293186,-0.058919323,0.259433648,Westport
29.694652,0.593551,0.04328,0.14576,32.18398758,301.3320508,0.42,345,316,354,351,339,356,500,343,0.191895113,-0.170960187,2692,0.821781762,0.039787798,0.225490196,0.412429379,1.352580676,0.727810651,-0.145299145,255.24,2.19,1.0546,0.68,-0.010372638,0.231396287,-0.027894161,0.249609362,Westport
22.2999036,0.4513443,0.02504,0.11231,27.68475365,301.3320508,0.293,338,296,328,310,281,318,450,306,0.23119015,-0.156812339,2692,0.875295057,0.150159744,0.206434316,0.37195122,1.175360648,1.280373832,-0.162011173,316.68,2.19,1.0546,0.68,0.024986614,0.232567168,-0.012476648,0.254041338,Westport
24.5271052,0.4941751,0.03223,0.13142,24.51965149,307.7462354,0.282,340,302,333,310,284,324,460,312,0.23655914,-0.160151324,2692,0.882352001,0.155555556,0.207349081,0.381381381,1.178115052,1.330275229,-0.159817352,329.88,2.19,1.0546,0.68,0.037539448,0.236611844,-0.006041114,0.261838416,Westport
16.5844484,0.3414317,0.03685,0.22222,23.2707154,307.7462354,0.328,340,297,323,297,271,292,396,256,0.187406297,-0.101529903,2692,0.815383943,0.175084175,0.142857143,0.226006192,1.028630582,2.106382979,-0.220472441,261.12,2.19,1.0546,0.68,0.034224505,0.240700119,-0.020167857,0.264854915,Westport
17.504396,0.359123,0.03262,0.18638,23.87465948,307.7462354,0.279,344,302,341,321,286,338,479,311,0.252287582,-0.168292683,2692,0.902671684,0.169230769,0.226632522,0.404692082,1.178128843,1.262295082,-0.146167558,363.72,2.19,1.0546,0.68,0.029588242,0.23953053,-0.02481942,0.263784344,Westport
31.04387,0.6194975,0.04154,0.13381,20.60820359,339.2015576,0.39,344,317,359,349,337,381,562,398,0.250278087,-0.220412595,2692,0.900142323,0.058047493,0.278725825,0.56545961,1.469526152,0.820627803,-0.092084006,358.32,2.19,1.0546,0.68,-0.03237725,0.252123457,-0.026060777,0.260421753,Westport
20.0302232,0.4076966,0.03494,0.17443,8.686293597,467.6581445,0.576,338,296,331,303,268,307,426,288,0.227665706,-0.125495376,2692,0.870618239,0.207920792,0.180055402,0.287009063,1.042049634,1.835820896,-0.190883191,325.8,2.19,1.0546,0.68,0.017426235,0.237192685,0.028092503,0.233608327,Westport
13.7046416,0.2860508,0.03569,0.26045,1.505708484,467.6581445,0.577,351,317,355,337,300,341,485,319,0.23566879,-0.154761905,2692,0.881200117,0.162721893,0.209476309,0.366197183,1.154532831,1.300884956,-0.161624892,352.2,2.19,1.0546,0.68,0.046927171,0.213206745,0.026337595,0.231568854,Westport
29.1816772,0.5836861,0.04951,0.16965,55.50638282,339.2015576,0.397,341,314,359,343,338,363,543,395,0.232690125,-0.203991131,2692,0.877315885,0.054830287,0.267211202,0.512534819,1.424057852,0.769230769,-0.106907895,327.96,2.19,1.0546,0.68,-0.04137377,0.254528535,-0.058645527,0.26593261,Westport
23.3480416,0.4715008,0.03403,0.14576,66.7844745,307.7462354,0.394,340,299,335,326,308,345,494,349,0.2319202,-0.191797346,2692,0.876280675,0.078488372,0.245901639,0.474626866,1.355776342,0.892857143,-0.124113475,309.96,2.19,1.0546,0.68,-0.044826433,0.259375804,-0.056472657,0.26574892,Westport
23.9551104,0.4831752,0.03778,0.15771,75.56477742,307.7462354,0.371,338,302,334,321,309,344,498,356,0.234200743,-0.197115385,2692,0.8792817,0.073313783,0.245,0.491017964,1.379414823,0.918128655,-0.121693122,311.16,2.19,1.0546,0.68,-0.04655939,0.251264556,-0.045072775,0.263342699,Westport
20.4870432,0.4164816,0.03035,0.14815,52.04355511,307.7462354,0.386,341,297,331,313,278,316,430,307,0.214689266,-0.130091984,2692,0.853222725,0.169871795,0.182943604,0.299093656,1.091081681,1.475,-0.187145558,301.56,2.19,1.0546,0.68,-0.021110334,0.244679918,-0.039004992,0.261747367,Westport
30.109898,0.6015365,0.03957,0.13142,29.23147858,307.7462354,0.381,335,295,322,308,288,319,458,331,0.227882038,-0.174358974,2692,0.870924302,0.107936508,0.216467463,0.422360248,1.272173141,1.108527132,-0.147906977,297.84,2.19,1.0546,0.68,-0.016886164,0.242737549,-0.018937607,0.254068262,Westport
